Date,inr_buy,inr_sell,usd_buy,usd_sell,eur_buy,eur_sell,gbp_buy,gbp_sell,chf_buy,chf_sell,aud_buy,aud_sell,cad_buy,cad_sell,sgd_buy,sgd_sell,jpy_buy,jpy_sell,cny_buy,cny_sell,sar_buy,sar_sell,qar_buy,qar_sell,thb_buy,thb_sell,aed_buy,aed_sell,myr_buy,myr_sell,krw_buy,krw_sell,sek_buy,sek_sell,dkk_buy,dkk_sell,hkd_buy,hkd_sell,kwd_buy,kwd_sell,bhd_buy,bhd_sell,omr_buy,omr_sell
2018-05-03,160.00,160.15,106.36,106.96,127.59,128.31,145.06,145.88,106.77,107.37,79.81,80.27,82.86,83.33,79.63,80.08,9.68,9.74,16.73,16.82,28.36,28.52,29.21,29.38,3.35,3.37,28.95,29.12,27.03,27.18,9.89,9.94,12.00,12.07,17.13,17.23,13.55,13.63,352.87,354.86,282.07,283.67,,
2018-05-04,160.00,160.15,106.34,106.94,127.31,128.03,144.44,145.25,106.47,107.07,80.07,80.52,82.84,83.31,79.85,80.30,9.72,9.77,16.75,16.84,28.35,28.51,29.21,29.37,3.36,3.38,28.95,29.11,27.04,27.19,9.89,9.94,12.01,12.07,17.09,17.19,13.55,13.62,352.87,354.86,281.98,283.57,,
2018-05-05,160.00,160.15,106.68,107.28,127.60,128.32,144.68,145.49,106.85,107.45,80.20,80.65,82.86,83.32,79.98,80.43,9.79,9.84,16.77,16.87,28.45,28.61,29.30,29.47,3.36,3.38,29.04,29.21,27.07,27.23,9.91,9.97,12.08,12.15,17.13,17.23,13.59,13.67,354.08,356.07,282.91,284.50,,
2018-05-06,160.00,160.15,106.68,107.28,127.60,128.32,144.68,145.49,106.85,107.45,80.20,80.65,82.86,83.32,79.98,80.43,9.79,9.84,16.77,16.87,28.45,28.61,29.30,29.47,3.36,3.38,29.04,29.21,27.07,27.23,9.91,9.97,12.08,12.15,17.13,17.23,13.59,13.67,354.08,356.07,282.91,284.50,,
2018-05-07,160.00,160.15,106.68,107.28,127.59,128.31,144.41,145.22,106.69,107.29,80.50,80.95,83.06,83.53,79.99,80.43,9.78,9.83,16.77,16.86,28.45,28.61,29.30,29.46,3.36,3.38,29.04,29.21,27.07,27.23,9.93,9.99,12.12,12.19,17.13,17.23,13.59,13.67,354.02,356.01,282.91,284.50,,
2018-05-08,160.00,160.15,107.12,107.72,127.61,128.32,144.95,145.77,106.60,107.20,80.39,80.84,83.21,83.68,80.13,80.57,9.80,9.86,16.83,16.92,28.56,28.72,29.42,29.58,3.36,3.38,29.16,29.33,27.16,27.31,9.91,9.97,12.10,12.17,17.13,17.23,13.65,13.72,355.39,357.39,284.05,285.64,,
2018-05-09,160.00,160.15,107.03,107.63,127.01,127.72,144.53,145.34,106.74,107.34,79.78,80.22,82.56,83.02,79.98,80.42,9.82,9.88,16.81,16.90,28.54,28.70,29.40,29.56,3.36,3.37,29.14,29.30,27.09,27.25,9.93,9.98,12.13,12.20,17.05,17.15,13.64,13.71,354.94,356.93,283.90,285.50,,
2018-05-10,160.00,160.15,107.32,107.92,127.55,128.27,145.87,146.69,107.20,107.80,80.05,80.50,83.13,83.59,80.09,80.54,9.79,9.84,16.85,16.94,28.62,28.78,29.48,29.64,3.35,3.37,29.22,29.38,27.17,27.32,9.95,10.01,12.29,12.36,17.13,17.22,13.67,13.75,355.79,357.78,284.60,286.19,,
2018-05-11,160.00,160.15,107.40,108.00,127.64,128.35,145.16,145.97,107.13,107.73,80.44,80.89,84.03,84.50,80.15,80.59,9.79,9.85,16.91,17.01,28.64,28.80,29.50,29.66,3.35,3.37,29.24,29.40,27.19,27.34,10.04,10.10,12.37,12.44,17.14,17.23,13.68,13.76,355.98,357.97,284.81,286.40,,
2018-05-12,160.00,160.15,107.43,108.03,128.21,128.93,145.80,146.62,107.48,108.08,81.17,81.63,84.32,84.79,80.56,81.01,9.83,9.88,16.96,17.06,28.64,28.80,29.51,29.67,3.37,3.39,29.25,29.41,27.19,27.35,10.07,10.12,12.50,12.57,17.21,17.31,13.69,13.76,356.25,358.24,284.88,286.47,,
