Date ,price
3-May-18,4486.9
4-May-18,4515.7
5-May-18,4513.4
6-May-18,4513.4
7-May-18,4533.2
8-May-18,4530.2
9-May-18,4534.6
10-May-18,4568.5
11-May-18,4561.1
12-May-18,4556.3
13-May-18,4546.9
14-May-18,4558
15-May-18,4513.9
16-May-18,4495.5
17-May-18,4489.9
18-May-18,4491.5
19-May-18,4508.9
20-May-18,4508.9
21-May-18,4522.6
22-May-18,4514.1
23-May-18,4530
24-May-18,4576.2
25-May-18,4527.5
26-May-18,4530.9
27-May-18,4530.9
28-May-18,4489.9
29-May-18,4535.4
30-May-18,4509.8
31-May-18,4503.3
1-Jun-18,4459.2
2-Jun-18,4471.2
3-Jun-18,4471.2
4-Jun-18,4465.2
5-Jun-18,4478.4
6-Jun-18,4460.5
7-Jun-18,4469
8-Jun-18,4488.6
9-Jun-18,4497.4
10-Jun-18,4497.4
11-Jun-18,4502
12-Jun-18,4491.2
13-Jun-18,4514.7
14-Jun-18,4526.2
15-Jun-18,4472.7
16-Jun-18,4468.1
17-Jun-18,4468.1
18-Jun-18,4467.2
19-Jun-18,4452.6
20-Jun-18,4437.8
21-Jun-18,4431.5
22-Jun-18,4421.2
23-Jun-18,4416.6
24-Jun-18,4416.6
25-Jun-18,4425.1
26-Jun-18,4407.6
27-Jun-18,4392.6
28-Jun-18,4412.6
29-Jun-18,4404.5
30-Jun-18,4406.9
1-Jul-18,4406.9
2-Jul-18,4381.8
3-Jul-18,4414.8
4-Jul-18,4436.2
5-Jul-18,4448.2
6-Jul-18,4442.2
7-Jul-18,4424.1
8-Jul-18,4424.1
9-Jul-18,4439.9
10-Jul-18,4439.7
11-Jul-18,4390.6
12-Jul-18,4388.7
13-Jul-18,4363.2
14-Jul-18,4362.2
15-Jul-18,4362.2
16-Jul-18,4374.3
17-Jul-18,4314.9
18-Jul-18,4328.6
19-Jul-18,4300.7
20-Jul-18,4352.9
21-Jul-18,4328.7
22-Jul-18,4328.7
23-Jul-18,4328.7
24-Jul-18,4333.5
25-Jul-18,4345.8
26-Jul-18,4313
27-Jul-18,4317.3
28-Jul-18,4316.6
29-Jul-18,4316.6
30-Jul-18,4305.7
31-Jul-18,4314.1
1-Aug-18,4277.7
2-Aug-18,4265.2
3-Aug-18,4289.1
4-Aug-18,4286.2
5-Aug-18,4286.2
6-Aug-18,4265.2
7-Aug-18,4266.5
8-Aug-18,4280.5
9-Aug-18,4270.1
10-Aug-18,4286
11-Aug-18,4283.7
12-Aug-18,4283.7
13-Aug-18,4282
14-Aug-18,4287.5
15-Aug-18,4221.5
16-Aug-18,4235.4
17-Aug-18,4259.9
18-Aug-18,4262.7
19-Aug-18,4262.7
20-Aug-18,4264.1
21-Aug-18,4283.2
22-Aug-18,4294.2
23-Aug-18,4272.9
24-Aug-18,4313.9
25-Aug-18,4313.4
26-Aug-18,4313.4
27-Aug-18,4359.9
28-Aug-18,4327.9
29-Aug-18,4347.8
30-Aug-18,4364.6
31-Aug-18,4370.2
1-Sep-18,4375.7
2-Sep-18,4375.7
3-Sep-18,4383.6
4-Sep-18,4356.6
5-Sep-18,4405.2
6-Sep-18,4431.1
7-Sep-18,4410.4
8-Sep-18,4409.5
9-Sep-18,4409.5
10-Sep-18,4449.3
11-Sep-18,4468.5
12-Sep-18,4464.9
13-Sep-18,4443.7
14-Sep-18,4405
15-Sep-18,4401
16-Sep-18,4401
17-Sep-18,4468.8
18-Sep-18,4471.3
19-Sep-18,4483.2
20-Sep-18,4467.1
21-Sep-18,4436
22-Sep-18,4433.8
23-Sep-18,4433.8
24-Sep-18,4468.8
25-Sep-18,4481.2
26-Sep-18,4452.6
27-Sep-18,4417.4
28-Sep-18,4437.4
29-Sep-18,4439.3
30-Sep-18,4439.3
1-Oct-18,4451.9
2-Oct-18,4503.1
3-Oct-18,4512.6
4-Oct-18,4540.8
5-Oct-18,4565
6-Oct-18,4560.8
7-Oct-18,4560.8
8-Oct-18,4521.5
9-Oct-18,4546.4
10-Oct-18,4547.4
11-Oct-18,4653.9
12-Oct-18,4629.7
13-Oct-18,4626.9
14-Oct-18,4626.9
15-Oct-18,4653.2
16-Oct-18,4629.2
17-Oct-18,4626.4
18-Oct-18,4628.7
19-Oct-18,4623.9
20-Oct-18,4623.3
21-Oct-18,4623.3
22-Oct-18,4613.6
23-Oct-18,4651.5
24-Oct-18,4635.5
25-Oct-18,4631.5
26-Oct-18,4650.9
27-Oct-18,4648.2
